timestamp,time_sec,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint1_vel,joint2_vel,joint3_vel,joint4_vel,joint5_vel,joint6_vel,joint1_eff,joint2_eff,joint3_eff,joint4_eff,joint5_eff,joint6_eff
2025-06-18T15:36:59.946224,1750232219.946223,-0.1313112516641617,-0.032561700981855395,-1.6133223415374756,-0.06620529843568802,1.6808537563323975,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.946771,1750232219.9467711,-0.13136359786987306,-0.032561700981855395,-1.6132874607086183,-0.06615294806957245,1.6808537563323975,0.29331705026626587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.946921,1750232219.9469218,-0.13136359786987306,-0.032561700981855395,-1.6132874607086183,-0.06615294806957245,1.6808537563323975,0.29331705026626587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.947066,1750232219.9470663,-0.13136359786987306,-0.032561700981855395,-1.6132874607086183,-0.06615294806957245,1.6808537563323975,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.947200,1750232219.9471998,-0.13136359786987306,-0.032561700981855395,-1.6132874607086183,-0.06615294806957245,1.6808537563323975,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.947320,1750232219.9473197,-0.13134614913463594,-0.03257914971709251,-1.6133223415374756,-0.0661878497004509,1.6808537563323975,0.29331705026626587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.947447,1750232219.9474473,-0.13134614913463594,-0.032561700981855395,-1.6133223415374756,-0.0661878497004509,1.68081887550354,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.947567,1750232219.947567,-0.13129380292892456,-0.032561700981855395,-1.6132874607086183,-0.0661878497004509,1.6808537563323975,0.29331705026626587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.947687,1750232219.9476876,-0.1313112516641617,-0.03257914971709251,-1.6133397819519044,-0.0661878497004509,1.68081887550354,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.949813,1750232219.9498134,-0.1313112516641617,-0.03257914971709251,-1.6132874607086183,-0.0661878497004509,1.6808537563323975,0.29331705026626587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.954914,1750232219.9549139,-0.13134614913463594,-0.032561700981855395,-1.6132874607086183,-0.0661878497004509,1.6808537563323975,0.29331705026626587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.959813,1750232219.9598134,-0.1313112516641617,-0.032561700981855395,-1.6132874607086183,-0.0661878497004509,1.6808537563323975,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18T15:36:59.964974,1750232219.9649727,-0.1313112516641617,-0.032561700981855395,-1.6133223415374756,-0.0661878497004509,1.6808537563323975,0.2932821361541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
